DAT	W	Wroot	OMN	OMS	Tsoil	Eh	Com	Cr	P	FEh	Ebl	Ep	E
160.0	15.303620492142997	1.9601779035392042	159.73726761561755	129.9762811041877	8.428	211.3949672223125	0.286451280194764	0.05448353016824999	0.0013100309781328286	0.01664226677313786	0.0009971984055440635	0.0003114917150953941	0.0013086901206394576
161.0	16.524575678649622	2.104966035557098	159.50194682657886	129.955005806679	7.44	177.89075552274323	0.25659608654739385	0.05997018666031303	0.0017185604312013438	0.02432878092550372	0.0011469307063239989	0.000568982772776334	0.0017159134791003329
162.0	17.840973232965048	2.2602245809469146	159.315957239663	129.9381684797313	5.312	150.23656279454266	0.2028269138635717	0.06600026543452878	0.0018621114645957235	0.033283914558055905	0.0009630755927641351	0.0008945387066437626	0.0018576142994078976
163.0	19.259948621744908	2.4266743899826366	159.12705628098578	129.92104984535925	5.464	124.3129761902805	0.20601959304927348	0.07262588045055504	0.002542824848493058	0.04465091867589827	0.0012456240610360285	0.0012901916088789895	0.002535815669915018
164.0	20.78911716895783	2.6050801353137985	158.9383793022087	129.9039334662725	5.464	100.2060966388442	0.20579335786384767	0.07990382395135671	0.0033459237051814117	0.058679250688594906	0.0015267818739878017	0.001808525129704481	0.0033353070036922826
165.0	22.436597415625844	2.7962520405136893	158.78796179627764	129.89027350728685	3.4120000000000004	79.82637901105241	0.1640774649166957	0.08789592669922551	0.0033694894341847375	0.07392538818994215	0.0010352281531303814	0.0018415383171011903	0.0028767664702315718
166.0	24.211034053461255	3.0010475151501517	158.63258303190412	129.87615111694566	3.716	60.49831540158266	0.169501154714704	0.09666943455594666	0.004345570346061579	0.09202936440437158	0.0013305162253270527	0.0023737953696927497	0.0037043115950198026
167.0	26.1216200825658	3.220372660595185	158.48979057377107	129.86316139740606	2.9560000000000004	43.010173551364915	0.15578217767265334	0.10629739976487723	0.004884406880285693	0.11220265382072409	0.0011507148491945024	0.002666679164394986	0.003817394013589488
168.0	28.178117779889227	3.4551836051650078	158.3002935917276	129.84590919805174	5.540000000000001	24.56776261209749	0.2067491813977823	0.11685908465318522	0.008016419111509077	0.13828553421346124	0.0027804154285515346	0.004374043149510057	0.007154458578061592
169.0	30.390877994638736	3.706487621032558	158.09625241460233	129.82731309850746	6.224	6.819852815998068	0.22263727666954228	0.12844037471817618	0.01059500164542126	0.169095494869003	0.003658564907346253	0.005777330871453773	0.009435895778800026
170.0	32.77085720921471	3.9753439686963645	157.84933116242706	129.8047831367298	7.972	-11.275142209965491	0.2694512139529189	0.1411341971807857	0.015805556397243906	0.2075848608521696	0.005777593092844402	0.008612671572902282	0.014390264665746683
171.0	35.32963171966218	4.262864407661276	157.5651968338833	129.77882167460027	9.264000000000001	-29.251971724247763	0.31009579067330467	0.15504094007095723	0.022399502837157182	0.2544940929198782	0.008188164852123517	0.012196776094950063	0.02038494094707358
172.0	38.07940819849537	4.570213304454427	157.2300279536205	129.74814807745759	10.784	-47.35666735829139	0.36584247740548215	0.17026886574424674	0.03260323876805651	0.3124561613667661	0.011875332306842967	0.017738665067644824	0.02961399737448779
173.0	41.03302980586072	4.898607261263642	156.92492139254617	129.72017277996164	9.948	-62.936734115543246	0.33308185857027495	0.18693451140951872	0.0356053176923536	0.3727985769555979	0.011688842781852442	0.019355377686837053	0.031044220468689494
174.0	44.2039769135902	5.249314180488241	156.61785372045415	129.69196900856898	10.024000000000001	-77.21840011057321	0.335271443484701	0.20516306777055324	0.042380895568118235	0.43829716836200516	0.013026663122836282	0.023017311825476616	0.0360439749483129
175.0	47.60636140255692	5.623651672525547	156.27624965949616	129.6605384332088	11.012	-91.09818901461846	0.37303463631816364	0.22508872525138823	0.0555363741926942	0.5129618218969249	0.016583828144315776	0.030132048144036503	0.046715876288352276
176.0	51.254913389337915	6.022984706431799	155.81587107585625	129.6180972538742	13.748000000000001	-106.32743230064908	0.5028197629745349	0.24685497549470162	0.08957428421503154	0.6095978708845159	0.027284687020569773	0.04854760976441082	0.07583229678498059
177.0	55.16495913675655	6.448722396010467	155.45855695642035	129.58507082483513	11.468	-117.88857084944382	0.3903405484749773	0.27061485391176693	0.07987030662950853	0.694940165191675	0.02115053276174053	0.0432381948128678	0.06438872757460834
178.0	59.35238880855776	6.902313807788531	155.13334554133937	129.55495022543525	10.632	-127.79801702808477	0.35533201448087937	0.29653110704991864	0.08201099201337819	0.7775382238091325	0.019660686836117127	0.04434184301310381	0.06400252984922093
179.0	63.83361264640813	7.3852426727155915	154.79779279810643	129.5238139157901	10.936	-136.9956085771485	0.36668905287808046	0.32477626647111607	0.09475730711646717	0.8629633104267485	0.021484144593317572	0.051164995147655865	0.07264913974097344
180.0	68.62550408384732	7.899020880825688	154.40211395437737	129.48702769437384	12.456	-146.25531026260003	0.43246506514533073	0.35553260876149906	0.12530280820035156	0.9584481460471357	0.028006931095045352	0.0675609595892228	0.09556789068426816
181.0	73.7453282741411	8.445180638184027	154.02673097339508	129.45204887963442	12.0	-154.34080233769873	0.41036179572170783	0.3889919792941626	0.12533506516093162	1.0	0.02581497840594292	0.06747386452118832	0.09328884292713124
182.0	79.21065450574355	9.025265168937452	153.71768958975588	129.4231895020389	10.252	-160.85903284563688	0.33790076123471363	0.4253554555444934	0.10435208426987194	1.0	0.018837523759321118	0.056084408090163115	0.07492193184948423
183.0	85.03925101991328	9.640817853002957	153.41939875907016	129.39528426961098	9.948	-166.69738436336183	0.3261960631136226	0.4648328242314553	0.10193848420423252	1.0	0.0170040967691161	0.05468949178521078	0.07169358855432688
184.0	91.24896084051889	10.293369702725968	153.1478117484439	129.3698332809209	9.112000000000002	-171.77162576973998	0.2970379993163566	0.5076418454757627	0.09401396877293856	1.0	0.014126838769454626	0.0503414795141938	0.06446831828364842
185.0	97.85755738743798	10.9844251006065	152.92219837444458	129.3486572504304	7.44	-176.00611494303436	0.2467894044898168	0.5540072766977766	0.07917880409551424	1.0	0.010126259920862501	0.04231066823531413	0.052436928156176635
186.0	104.88257888365432	11.715445745794653	152.662560142295	129.32425569412965	8.732	-180.2115906438707	0.2840397884503145	0.6041596293173519	0.09245864740021506	1.0	0.011971389339389054	0.04929824693497865	0.0612696362743677
187.0	112.34114089325354	12.487832790294561	152.39899808130502	129.299447918125	8.884	-184.11268737155982	0.2883698369946268	0.6583336326757364	0.09533096869672174	1.0	0.011672064921391207	0.05070987750568397	0.06238194242707518
188.0	120.24972675290483	13.302907187338562	152.0581646135818	129.2673176549755	11.24	-188.26310418771146	0.37296373087272355	0.7167663821975168	0.1253414109929207	1.0	0.015957611488489464	0.06650513797761144	0.08246274946610091
189.0	128.62395619082565	14.161888324619667	151.72092099237418	129.23546246293944	11.164000000000001	-192.02325917078483	0.3690988132436864	0.7796951528697126	0.12623839492975272	1.0	0.015054649183763365	0.06680012450045925	0.08185477368422261
190.0	137.47833306904715	15.065871074093536	151.48395699594514	129.2130352096896	7.972	-194.84766176161378	0.25939124967890687	0.8473548648414905	0.090379171054489	1.0	0.008717380092599706	0.04768678100068804	0.05640416109328775
191.0	146.8259739367434	16.015801457528426	151.2716990503741	129.19291830612178	6.984	-197.31662563298676	0.23237484913881618	0.9199751955136216	0.08255637012742686	1.0	0.007013127245932343	0.043424832130377795	0.05043795937631014
192.0	156.678319938069	17.01245120199809	151.02741277589186	129.1697370171632	8.276	-199.76720814586605	0.2674675634408479	0.9977773420069608	0.09698471257502855	1.0	0.008433500294130931	0.05084615216676052	0.05927965246089145
193.0	167.04483556346952	18.056391540518774	150.74866262657872	129.1432472834869	9.492	-202.19233810785218	0.30523988298944477	1.0809704494064796	0.11308360607315916	1.0	0.009865883121987079	0.059078062342503956	0.06894394546449104
